experiment,group,data,Label,Metric,statistic,bias,std.error,conf.low,conf.high
felt touch,ASD,,calming,F1,0.5220030349013657,-1.888985133919885e-4,0.023686922581048316,0.4721357599850877,0.5653859426967025
felt touch,ASD,,calming,F1chance,0.2855782960495002,-3.8529363053652066e-5,0.013085377284089846,0.2590623489608506,0.3120899718837863
felt touch,ASD,,sadness,Recall,0.3233333333333333,-0.0011866600862091015,0.026611383715048384,0.26752166541563305,0.37580699234663406
felt touch,ASD,,sadness,Precision,0.6298701298701299,-0.0018080448275485939,0.037749260674909205,0.5517298264824911,0.6973684210526315
felt touch,ASD,,sadness,Specificity,0.8767455980570734,-1.2472608837754695e-4,0.008041053506468944,0.8604408192296435,0.8929823023860959
felt touch,ASD,,sadness,F1,0.42731277533039647,-0.00199835277618432,0.02843856148231592,0.36490734116753143,0.4805441217769417
felt touch,ASD,,sadness,F1chance,0.2855782960495002,-2.5177546723731403e-4,0.01277124736388641,0.2607436021245775,0.31129864041256444
felt touch,ASD,,gratitude,Recall,0.25,-0.00151192150015797,0.024061511003868035,0.2013206947321152,0.29567530842551976
felt touch,ASD,,gratitude,Precision,0.4838709677419355,-5.880364051675802e-4,0.04067052435751254,0.40272844342075564,0.5644042872928243
felt touch,ASD,,gratitude,Specificity,0.8633049817739976,-2.7262113789605635e-4,0.008328875257826012,0.8468047611891093,0.8796091202060968
felt touch,ASD,,gratitude,F1,0.32967032967032966,-0.001933076993218208,0.027671276339779127,0.27416625867223815,0.38398583072303655
felt touch,ASD,,gratitude,F1chance,0.2855782960495002,4.062024460460556e-6,0.013230334891913385,0.2599033816425121,0.3120899718837863
felt touch,Control,,attention,Recall,0.98,-2.737998572259759e-4,0.008093688120594831,0.9628410166505011,0.9933549190460508
felt touch,Control,,attention,Precision,0.6805555555555556,-5.274932594621085e-4,0.022492160742076144,0.6374543778215075,0.7255802672999587
felt touch,Control,,attention,Specificity,0.9956140350877193,-6.939270529937591e-5,0.0017949167522818984,0.9918518518518519,0.9985537350962348
felt touch,Control,,attention,F1,0.8032786885245902,-6.775145132674742e-4,0.016077733426576542,0.7711672616858133,0.8353361261657951
felt touch,Control,,attention,F1chance,0.2857142857142857,2.707137346171784e-4,0.013087632866455196,0.25918762088974856,0.31144465290806755
felt touch,Control,,love,Recall,0.7933333333333333,-2.729590692505113e-4,0.023659701751827817,0.7449729590229912,0.8401483776512808
felt touch,Control,,love,Precision,0.7212121212121212,0.0011534312503894695,0.024795735807275003,0.6726485540892051,0.7706063442896183
felt touch,Control,,love,Specificity,0.9578231292517007,-4.224030894617314e-6,0.005259055073395345,0.947619952270172,0.9683187091911487
felt touch,Control,,love,F1,0.7555555555555554,2.0896495218036826e-4,0.019207902343660977,0.7127344586049499,0.7921824125166779
felt touch,Control,,love,F1chance,0.2857142857142857,-2.557885813548877e-4,0.012599364492951301,0.2600289995166747,0.31065227592679495
felt touch,Control,,happiness,Recall,0.7233333333333334,-4.521360846360123e-4,0.026324426693450458,0.6709710091185261,0.773690982848634
felt touch,Control,,happiness,Precision,0.9194915254237288,9.909903243310314e-5,0.017566480038810086,0.8839285714285714,0.9543510437997323
felt touch,Control,,happiness,Specificity,0.94693094629156,-9.866815175474386e-5,0.0058290511008206895,0.9349095744383927,0.9575128969896677
felt touch,Control,,happiness,F1,0.8097014925373135,-5.548955961690583e-4,0.018527734535073746,0.7727318734282517,0.843487583003783
felt touch,Control,,happiness,F1chance,0.2857142857142857,-6.0211180265834496e-5,0.013058683948657833,0.2600289995166747,0.3106321266317033
felt touch,Control,,calming,Recall,0.7066666666666667,0.002046607433916048,0.025925355499993204,0.6568645631222846,0.7576655555446679
felt touch,Control,,calming,Precision,0.5196078431372549,4.3984970629507014e-4,0.02412076560804701,0.4743039109423623,0.5677679512912747
felt touch,Control,,calming,Specificity,0.9367816091954023,5.403749380221701e-4,0.00660457724530069,0.9233014939929736,0.950216371995496
felt touch,Control,,calming,F1,0.5988700564971752,6.92494000639976e-4,0.021174738149942293,0.5568541246341816,0.6386018850161248
felt touch,Control,,calming,F1chance,0.2857142857142857,-5.564433446720862e-4,0.012996726295752136,0.25918762088974856,0.3122362869198312
felt touch,Control,,sadness,Recall,0.33,9.262688837312072e-4,0.027623385929849822,0.2765324688205637,0.3894639597815098
felt touch,Control,,sadness,Precision,0.7226277372262774,0.0015543500535063481,0.039125091922978056,0.6451741961243614,0.8016512262186275
felt touch,Control,,sadness,Specificity,0.8791340950090198,7.368719870948226e-5,0.008070019175652796,0.8628996178297487,0.8950433911012655
felt touch,Control,,sadness,F1,0.4530892448512586,5.876694552049422e-4,0.030100507197950273,0.3944985483692934,0.5139678830847139
felt touch,Control,,sadness,F1chance,0.2857142857142857,6.337522664473516e-5,0.013096426731038498,0.2600289995166747,0.31144465290806755
felt touch,Control,,gratitude,Recall,0.2866666666666667,3.594561064265145e-4,0.025965635114580755,0.23510910684201025,0.33666039380967766
felt touch,Control,,gratitude,Precision,0.5620915032679739,7.473572655060101e-4,0.03902469990948942,0.484472049689441,0.6386992154821666
felt touch,Control,,gratitude,Specificity,0.8700667880995749,2.9085441329623762e-5,0.008243631194566678,0.8536013916737399,0.8871402433103335
felt touch,Control,,gratitude,F1,0.3796909492273731,-5.181175984098063e-5,0.02854178320025858,0.32037916522353793,0.43423303059070123
felt touch,Control,,gratitude,F1chance,0.2857142857142857,-4.2740428867316105e-5,0.012490416702356953,0.2608695652173913,0.30983898670607335
viewed touch,Control,,attention,Recall,0.9285714285714286,-0.007643877047519898,0.07570964415773702,0.75,1
viewed touch,Control,,attention,Precision,0.5909090909090909,-0.008895883361346169,0.1058385820479381,0.3847239532940407,0.7894736842105263
viewed touch,Control,,attention,Specificity,0.9838709677419355,-0.0016565478644885445,0.01705954251379671,0.9375710962802394,1
viewed touch,Control,,attention,F1,0.7222222222222223,-0.014838753564524132,0.08756505579212821,0.5334636157477206,0.8648648648648648
viewed touch,Control,,attention,F1chance,0.2857142857142857,-0.0034479715699496927,0.058979007266075724,0.17391304347826084,0.4
viewed touch,Control,,love,Recall,0.7857142857142857,0.001700102698822259,0.1146627357422414,0.5555555555555556,1
viewed touch,Control,,love,Precision,0.7857142857142857,-0.00203137633503625,0.1190064544260266,0.5333333333333333,1
viewed touch,Control,,love,Specificity,0.9571428571428572,7.842617097417737e-4,0.024234292506133067,0.9014084507042254,1
viewed touch,Control,,love,F1,0.7857142857142857,-0.006550943526947184,0.09505716958552267,0.5806451612903225,0.9375
viewed touch,Control,,love,F1chance,0.2857142857142857,-0.005026114948426419,0.05954041138892991,0.15384615384615385,0.4
viewed touch,Control,,happiness,Recall,0.7142857142857143,-0.0027251379108022,0.12289168388743965,0.42879825956076356,0.9285714285714286
viewed touch,Control,,happiness,Precision,0.8333333333333334,0.005848075709456779,0.10976327858432747,0.6,1
viewed touch,Control,,happiness,Specificity,0.9444444444444444,-9.574408721368943e-4,0.026797769040083092,0.8841000498067173,0.9863013698630136
viewed touch,Control,,happiness,F1,0.7692307692307692,-0.006063787346499816,0.09797696304035851,0.5334636157477206,0.9230769230769231
viewed touch,Control,,happiness,F1chance,0.2857142857142857,9.382524441833295e-4,0.05971759609222105,0.17391304347826084,0.4
viewed touch,Control,,calming,Recall,0.7142857142857143,0.0014053336629493707,0.12529351764815946,0.45454545454545453,0.9285714285714286
viewed touch,Control,,calming,Precision,0.5555555555555556,0.005152484307978433,0.11846973276892682,0.3333333333333333,0.7893781764255433
viewed touch,Control,,calming,Specificity,0.9393939393939394,2.7469506992061632e-5,0.02964328369844927,0.8769704523464905,0.9859103812734799
viewed touch,Control,,calming,F1,0.6250000000000001,-0.003967160274275794,0.10299133477643524,0.39999999999999997,0.8
viewed touch,Control,,calming,F1chance,0.2857142857142857,-0.0019865995881412357,0.059445747712941706,0.17391304347826084,0.4
viewed touch,Control,,sadness,Recall,0.14285714285714285,6.513400599714447e-4,0.09299451663870881,0,0.3333333333333333
viewed touch,Control,,sadness,Precision,0.6666666666666666,-0.021042604617604543,0.328406541037375,0,1
viewed touch,Control,,sadness,Specificity,0.8518518518518519,2.1975547917396643e-4,0.039891803052930934,0.7692307692307693,0.925
viewed touch,Control,,sadness,F1,0.23529411764705882,-0.00930331949192914,0.13350430525882137,0,0.4993951173617742
viewed touch,Control,,sadness,F1chance,0.2857142857142857,-0.002303151895946154,0.060120048177994934,0.17391304347826084,0.4
viewed touch,Control,,gratitude,Recall,0,0,0,NA,NA
viewed touch,Control,,gratitude,Precision,0,0,0,NA,NA
viewed touch,Control,,gratitude,Specificity,0.8227848101265823,-0.0010278476535506842,0.041823740329751294,0.731770065009708,0.9078635376323442
viewed touch,Control,,gratitude,F1,0,0,0,NA,NA
viewed touch,Control,,gratitude,F1chance,0.2857142857142857,-5.081175859565357e-4,0.05820473933244266,0.15384615384615385,0.4
viewed touch,ASD,,attention,Recall,0.9285714285714286,4.70789918005865e-4,0.06754902867830759,0.7692307692307693,1
viewed touch,ASD,,attention,Precision,0.52,0.003991006013777443,0.09974439193441843,0.3333333333333333,0.7198548281668258
viewed touch,ASD,,attention,Specificity,0.9830508474576272,-2.043158482732954e-4,0.01646627261390477,0.9444444444444444,1
viewed touch,ASD,,attention,F1,0.6666666666666666,-0.0022977951493147186,0.08758935228084969,0.4738004808732517,0.8181346844697486
viewed touch,ASD,,attention,F1chance,0.2857142857142857,6.757570037020377e-4,0.06062107020104575,0.17391304347826084,0.4147108668557663
viewed touch,ASD,,love,Recall,0.9285714285714286,0.003952438092000299,0.06843559474930837,0.7777777777777778,1
viewed touch,ASD,,love,Precision,1,0,0,NA,NA
viewed touch,ASD,,love,Specificity,0.9859154929577465,8.380736568202041e-4,0.01344456292205443,0.9558823529411765,1
viewed touch,ASD,,love,F1,0.962962962962963,7.751011754639769e-4,0.038093429066670556,0.8750000000000001,1
viewed touch,ASD,,love,F1chance,0.2857142857142857,-0.004141074524394384,0.061035574232594925,0.15384615384615385,0.4
viewed touch,ASD,,happiness,Recall,0.6428571428571429,0.001334493168659523,0.13705013437191046,0.3573078251351008,0.9088599539017683
viewed touch,ASD,,happiness,Precision,1,0,0,NA,NA
viewed touch,ASD,,happiness,Specificity,0.9333333333333333,-1.2424663526144908e-4,0.029088140715992264,0.875,0.9866666666666667
viewed touch,ASD,,happiness,F1,0.782608695652174,-0.00783768925915651,0.10694865600242337,0.5264940706723195,0.9522536086676416
viewed touch,ASD,,happiness,F1chance,0.2857142857142857,-8.812776746845441e-4,0.06181301644308331,0.17391304347826084,0.4
viewed touch,ASD,,calming,Recall,0.9285714285714286,-0.005396297895157165,0.07514602264138352,0.733756751180092,1
viewed touch,ASD,,calming,Precision,0.5416666666666666,-9.48158896785678e-4,0.10306347968339093,0.3333333333333333,0.7366878234566469
viewed touch,ASD,,calming,Specificity,0.9833333333333333,-0.0010253703755686017,0.01725398067628533,0.9394093364065489,1
viewed touch,ASD,,calming,F1,0.6842105263157894,-0.007887987105927419,0.09070121407857312,0.47619047619047616,0.8332300606877825
viewed touch,ASD,,calming,F1chance,0.2857142857142857,-0.00418298652199145,0.06022265554557785,0.17391304347826084,0.4
viewed touch,ASD,,sadness,Recall,0,0,0,NA,NA
viewed touch,ASD,,sadness,Precision,0,0,0,NA,NA
viewed touch,ASD,,sadness,Specificity,0.8292682926829268,9.957040406416429e-4,0.040280735921334514,0.7469879518072289,0.9112239567336586
viewed touch,ASD,,sadness,F1,0,0,0,NA,NA
viewed touch,ASD,,sadness,F1chance,0.2857142857142857,-0.003506709245731765,0.05784847344591252,0.15435595459810414,0.4
viewed touch,ASD,,gratitude,Recall,0.07142857142857142,-0.002763032562926218,0.06710855103636555,0,0.23068040185033048
viewed touch,ASD,,gratitude,Precision,0.2,-0.010051290376290378,0.19025915445392205,0,0.6
viewed touch,ASD,,gratitude,Specificity,0.8354430379746836,-0.0014499661996674185,0.04139975078689232,0.7500784107123627,0.9125
viewed touch,ASD,,gratitude,F1,0.10526315789473682,-0.008899222931236489,0.09010782494187426,0,0.3
viewed touch,ASD,,gratitude,F1chance,0.2857142857142857,-7.057612903800248e-4,0.060381844299564474,0.17391304347826084,0.4
